region,percentile,f_ghz,gamma_dB_per_km
costa,90,7.0,0.0192289214849279
costa,90,7.0,0.0197518906743316
costa,90,7.0,0.0202768559510378
costa,90,7.0,0.0187669953841731
costa,90,7.0,0.0192245318907215
costa,90,11.0,0.0483894076585765
costa,90,11.0,0.0496962836498793
costa,90,11.0,0.0459226489164347
costa,90,11.0,0.0470615694722023
costa,90,11.0,0.0483789995470477
costa,90,11.0,0.0496858755383505
costa,90,11.0,0.045912048929197
costa,90,11.0,0.0470509694849646
costa,90,15.0,0.0902726798816408
costa,90,15.0,0.0928056503568194
costa,90,15.0,0.0854220473320859
costa,90,15.0,0.0876285786610499
costa,90,15.0,0.0902539248271114
costa,90,15.0,0.09278689530229
costa,90,15.0,0.0854029465242108
costa,90,15.0,0.0876094778531747
costa,90,18.0,0.135894136364017
costa,90,18.0,0.1399954708557583
costa,90,18.0,0.1278294675364347
costa,90,18.0,0.131398775426444
costa,90,18.0,0.1358679018371055
costa,90,18.0,0.1399692363288469
costa,90,18.0,0.1278027493705427
costa,90,18.0,0.131372057260552
costa,90,23.0,0.3561163437951739
costa,90,23.0,0.3706579826133825
costa,90,23.0,0.3247015863204576
costa,90,23.0,0.337376987613631
costa,90,23.0,0.3560759061349688
costa,90,23.0,0.3706175449531774
costa,90,23.0,0.3246604031835445
costa,90,23.0,0.3373358044767179
costa,90,32.0,0.3567376300171301
costa,90,32.0,0.3674505691665675
costa,90,32.0,0.3357963410498517
costa,90,32.0,0.3451357459534063
costa,90,32.0,0.3566686678419251
costa,90,32.0,0.3673816069913624
costa,90,32.0,0.3357261075425496
costa,90,32.0,0.3450655124461042
costa,90,38.0,0.4765378888198426
costa,90,38.0,0.4913717016471419
costa,90,38.0,0.4472329184799793
costa,90,38.0,0.4601674555334463
costa,90,38.0,0.4764495592651928
costa,90,38.0,0.491283372092492
costa,90,38.0,0.447142960551549
costa,90,38.0,0.4600774976050159
costa,95,6.0,0.0145935181809529
costa,95,6.0,0.0149767937689103
costa,95,6.0,0.0138732324506974
costa,95,6.0,0.014207887210494
costa,95,6.0,0.0145896529485801
costa,95,6.0,0.0149729285365375
costa,95,6.0,0.0138692969024276
costa,95,6.0,0.0142039516622242
costa,95,7.0,0.0198075007451253
costa,95,7.0,0.020328450659026
costa,95,7.0,0.0188280071551152
costa,95,7.0,0.0192828785612261
costa,95,7.0,0.0198022612079088
costa,95,7.0,0.0203232111218094
costa,95,7.0,0.0188226723007939
costa,95,7.0,0.0192775437069048
costa,95,11.0,0.048517301348449
costa,95,11.0,0.0498141848092985
costa,95,11.0,0.0460639809244283
costa,95,11.0,0.0471962713133088
costa,95,11.0,0.0485046489197699
costa,95,11.0,0.0498015323806194
costa,95,11.0,0.0460510983241099
costa,95,11.0,0.0471833887129904
costa,95,15.0,0.0905214518509792
costa,95,15.0,0.0930350887104092
costa,95,15.0,0.0856976662410553
costa,95,15.0,0.0878913900013722
costa,95,15.0,0.0904986526150996
costa,95,15.0,0.0930122894745295
costa,95,15.0,0.085674452243897
costa,95,15.0,0.0878681760042139
costa,95,18.0,0.1362997209816266
costa,95,18.0,0.1403698756784394
costa,95,18.0,0.128280832005411
costa,95,18.0,0.1318295635098104
costa,95,18.0,0.1362678294631932
costa,95,18.0,0.140337984160006
costa,95,18.0,0.1282483603198599
costa,95,18.0,0.1317970918242593
costa,95,23.0,0.357591534570984
costa,95,23.0,0.3720211459636673
costa,95,23.0,0.3263776046326544
costa,95,23.0,0.3389786658921521
costa,95,23.0,0.3575423772757071
costa,95,23.0,0.3719719886683904
