region,percentile,f_ghz,gamma_db_per_km,gammar_db_per_km,gamma_total_db_per_km,gamma_gaseous_dB_per_km,r_mm_per_h,pol,k,alpha,gamma_rain_dB_per_km,d_eff_km,a_r_db
Rainforest,50,15.0,0.0889578216611765,1.1427194926051516,1.2316773142663282,0.08895782166117652,20,V,0.05008,1.044,1.1427194926051516,20.0,22.854389852103036
Rainforest,50,18.0,0.1337206590067292,1.5531888945455874,1.6869095535523166,0.13372065900672928,20,V,0.07708,1.0025,1.5531888945455874,20.0,31.063777890911748
Rainforest,50,23.0,0.3477955924723649,2.298565635620723,2.646361228093088,0.34779559247236497,20,V,0.1284,0.963,2.298565635620723,20.0,45.97131271241446
Rainforest,50,32.0,0.3510871772284544,3.899822844347359,4.250910021575813,0.35108717722845445,20,V,0.2646,0.8981,3.899822844347359,20.0,77.99645688694719
Rainforest,50,38.0,0.4686491480872103,4.982235263652532,5.450884411739742,0.46864914808721037,20,V,0.3844,0.8552,4.982235263652532,20.0,99.64470527305065
Rainforest,95,6.0,0.0150460585228468,0.3054344942752833,0.3204805527981302,0.015046058522846888,60,V,0.0004878,1.5728,0.3054344942752833,20.0,6.108689885505667
Rainforest,95,7.0,0.0204227263910032,0.59662147717308,0.6170442035640832,0.020422726391003225,60,V,0.001425,1.4745,0.59662147717308,20.0,11.9324295434616
Rainforest,95,11.0,0.0500534675521086,2.013610074670941,2.0636635422230496,0.05005346755210864,60,V,0.01731,1.1617,2.013610074670941,20.0,40.27220149341882
Rainforest,95,15.0,0.0935207759691359,3.597942559256489,3.6914633352256248,0.09352077596913592,60,V,0.05008,1.044,3.597942559256489,20.0,71.95885118512977
Rainforest,95,18.0,0.1412239324675491,4.672381917343682,4.813605849811231,0.14122393246754913,60,V,0.07708,1.0025,4.672381917343682,20.0,93.44763834687365
Rainforest,95,23.0,0.3758774416180264,6.621016617081544,6.996894058699571,0.3758774416180264,60,V,0.1284,0.963,6.621016617081544,20.0,132.42033234163088
Rainforest,95,32.0,0.3705927453371553,10.460380388933617,10.830973134270772,0.3705927453371553,60,V,0.2646,0.8981,10.460380388933617,20.0,209.20760777867235
Rainforest,95,38.0,0.495812130962831,12.748477691440876,13.244289822403706,0.49581213096283105,60,V,0.3844,0.8552,12.748477691440876,20.0,254.96955382881757
